# Show ID, Title, Release Year, Summary
#-------------------------------------------
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  "Game of Thrones",           2011    ,          "Based on the bestselling book series A Song of Ice and Fire by George R.R. Martin, this sprawling drama is set in a world where summers span decades and winters can last a lifetime. From the scheming south and the savage eastern lands, to the frozen north and ancient Wall that protects the realm from the mysterious darkness beyond, the powerful families of the Seven Kingdoms are locked in a battle for the Iron Throne. This is a story of duplicity and treachery, nobility and honor, conquest and triumph. In the Game of Thrones, you either win or you die."
2C297953-EC9C4D08-8124ACBF-19046DE6,  "The Fall of the House of Usher", 2023, "To secure their fortune - and future - two ruthless siblings build a family dynasty that begins to crumble when their heirs mysteriously die, one by one."
9B5EE17E-74594089-9C9AA3CE-E7CFBEF7,  "Agatha All Along", 2024, "In Agatha All Along, the infamous Agatha Harkness finds herself down and out of power after a suspicious goth Teen helps break her free from a distorted spell. Her interest is piqued when he begs her to take him on the legendary Witches' Road, a magical gauntlet of trials that, if survived, rewards a witch with what they're missing. Together, Agatha and this mysterious Teen pull together a desperate coven, and set off down, down, down The Road..."
15E75C67-545D4980-B21594E5-820951DC,  "The Rising", 2022, "The Rising is the story of Neve Kelly, who discovers that she is dead. She's scared and confused by this new existence. But, when she realises she has been murdered, she's furious. She's determined to find her killer and get justice, believing that it was someone she knew. Impulsive and restless, Neve regrets never leaving her isolated community. And, as she comes to terms with her abilities, she begins to destabilise the lives of those she left behind. Particularly her estranged father, Tom and her beloved mother Maria. Neve is a disruptive, unsettling hero who should not exist, and she needs to find her purpose. She takes us through the investigation into her death, going where the police can't. In the process she uncovers deeply buried secrets and is forced to re-examine everything about her life and the people she cared about. With nothing to lose but time, Neve will push for the truth even when it hurts. Her return forces everyone around her to change, confess, or start covering their tracks. But, it also reveals that there are others like her out there."
